iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
GEO,2010,36.845816592798556,23.471296058846292,109.00516700956616,38.288414719881494,51.57244955261308,28.160420231950518
GEO,2011,37.12145256649124,24.179543972769387,87.97242072881663,25.75992020524311,8.684093510069571,13.632873587569444
GEO,2012,35.40888766013943,22.673840126894877,115.30444586954327,26.763338674299824,24.69022598778312,21.929003521490714
GEO,2013,33.33472769363358,20.721331316922782,96.99942079347734,18.401926689248434,15.761616938811368,17.776106357889592
GEO,2014,36.735362142510034,22.65519343905294,103.95292421106494,30.241552201966496,18.69097842421711,22.92932005850273
GEO,2015,36.824852937230744,22.951943849152485,106.52768412044436,29.23875143730302,34.8459414889353,22.40387304610319
GEO,2016,34.692604182521016,22.349559971904213,96.8492415208699,27.900579399527054,28.794506669742667,21.4220884161529
GEO,2017,36.68793542046003,23.833726609617283,99.21447144388225,29.557343596063657,31.029062464853244,19.969339977303115
GEO,2018,35.94008117575462,23.708594639580063,113.70417842736765,31.46223414970961,23.709833719590566,24.29243814439875
GHA,2000,38.80271732615544,27.474612214935103,362.7472785267598,291.3481808929395,,
GHA,2001,39.04293702776361,27.571075947742678,360.7261003585304,292.91305252319506,,
GHA,2002,39.02049571998842,27.930271455909114,362.2584119816732,298.60033187460255,,
GHA,2003,38.91749548578352,27.8198611648274,363.1492336767451,308.4197657917026,,
GHA,2004,38.90195567974984,28.002250259828877,362.5617191651429,311.7583556405262,,
GHA,2005,39.00669674822543,28.269194579783566,362.4222764620772,309.52359370023845,,
GHA,2006,38.57502643120795,27.82454060194143,362.8552173911317,307.197591366238,,
GHA,2007,39.00145153263438,27.958926188001193,362.36353816123824,302.7845686396482,,
GHA,2008,38.51608554849629,27.616414007836042,363.6370231299345,296.10045504973004,,
GHA,2009,38.45086854035875,27.664291171461404,362.3439852251373,308.56212857787244,,
GHA,2010,39.2932435950474,28.597491437153096,363.2540706290591,311.5162521789281,,
GIN,2000,40.4470649224569,26.97983024022106,360.2475331083352,244.4554582985922,,18.053710339582096
GIN,2001,39.77286304115919,26.748443843161457,360.05814449200176,238.01414033384665,,35.95933291227192
GIN,2002,40.101174202068634,27.096089166023603,359.80714163140465,242.6310880690935,,27.19957753132131
GIN,2003,40.22946811943594,27.208831137373878,359.84341157998455,259.62056988441753,,18.913214078185156
GIN,2004,39.584443658023844,26.850741815845904,361.9981180960046,258.1920777614402,,26.16016109968218
GIN,2005,39.990283738029994,27.50464516045527,361.2499016098897,261.9103517163537,,16.99024613199738
GIN,2006,39.739276767279286,27.119417845592647,361.1618933993975,247.9096379983194,,13.557713109095763
GIN,2007,40.37400953928162,27.477714647397722,360.11594086620687,248.00232301072802,,11.90719913592369
GIN,2008,39.67962418123062,26.874228566826822,361.09701238814154,244.2822563901657,,16.118535226203548
GIN,2009,39.94235988328576,27.406763643021062,360.58791482112326,254.55197594082705,,26.330174281401913
GIN,2010,40.85906938181882,28.159443111201366,361.8262468381326,267.3409848348359,,37.87441920821861
GIN,2011,,,,115.19610648574785,,24.549981611250363
GIN,2012,,,,127.97085594770402,,25.8886887892432
GIN,2013,,,,105.72427559942918,,28.717977783747084
GIN,2014,,,,106.1466446697602,,28.10830328632799
GIN,2015,,,,122.18271756464057,,31.56131915728144
GIN,2016,,,,115.7840327368594,,35.673429652081154
GIN,2017,,,,130.37650774171195,,36.07615683835875
GIN,2018,,,,91.5239986244978,,10.665808127448583
GNB,2000,42.13116264343262,26.839451789855957,359.46832275390625,234.45206451416016,,17.348186492919922
GNB,2001,40.984317779541016,26.99366760253906,360.093994140625,236.61286163330078,,34.132545471191406
GNB,2002,41.41984558105469,26.882489204406735,358.9867858886719,232.44844818115234,,25.522057533264164
GNB,2003,41.300424575805664,27.14186573028564,359.63603210449213,251.25975036621094,,18.384306907653805
GNB,2004,40.54035568237305,26.62005615234375,363.30262756347656,249.569580078125,,25.462169647216797
GNB,2005,41.164297103881836,27.481819152832028,361.21844482421875,254.3837127685547,,16.481172561645508
GNB,2006,41.111223220825195,27.09560203552246,360.1083984375,228.29275512695312,,12.62602949142456
GNB,2007,41.277166366577156,27.293377876281742,361.34962463378906,234.02191162109375,,10.994330406188965
GNB,2008,41.14239692687988,26.712276458740234,362.4592742919922,232.52088928222656,,14.840750217437744
GNB,2009,40.54449653625488,27.177556991577145,359.8040771484375,235.15452575683597,,25.566682815551758
GNB,2010,42.352849960327156,28.150800704956055,362.6304016113281,259.13905334472656,,36.650245666503906
GNB,2011,,23.72456169128418,,107.0154037475586,,23.459173202514652
GNB,2012,,24.834389686584476,,119.15760040283203,,25.74783420562744
GNB,2013,,24.93205833435059,,95.34327697753906,,27.500333786010742
GNB,2014,,23.684093475341797,,97.98880004882811,,26.109607696533203
GNB,2015,,25.589486122131348,,110.29551315307617,,30.059412002563477
GNB,2016,,25.487540245056152,,105.58767318725586,,33.761234283447266
GNB,2017,,24.548675537109375,,120.47370529174805,,35.91880798339844
GNB,2018,,23.49727439880371,,83.8113784790039,,10.640084266662598
GNQ,2000,38.18629455566406,26.944875717163086,361.278076171875,286.51922607421875,,
GNQ,2001,37.8098258972168,27.301210403442383,359.3506774902344,290.7899475097656,,
GNQ,2002,38.107547760009766,27.56635856628418,360.61737060546875,299.0910339355469,,
GNQ,2003,37.77821350097656,27.630319595336914,361.1714172363281,309.5390625,,
